,Full_Name,Overall,Potential,Value(in_Euro),Positions_Played,Best_Position,Nationality,Age,Club_Name,Wage(in_Euro),Release_Clause,Defending_Total,Physicality_Total,Position_Category
24,João Pedro Cavaco Cancelo,88,88,82500000,"LB,RB",LB,Portugal,28,Manchester City,250000,152600000,81,73,Defense
25,Marcos Aoás Corrêa,88,90,92000000,CB,CB,Brazil,28,Paris Saint-Germain,170000,177100000,89,80,Defense
26,Keylor Navas,88,88,10000000,GK,GK,Costa Rica,35,Paris Saint-Germain,85000,18500000,54,87,Goalkeeper
27,Marc-André ter Stegen,88,89,68500000,GK,GK,Germany,30,FC Barcelona,210000,145600000,47,85,Goalkeeper
28,Toni Kroos,88,88,72000000,CM,CM,Germany,32,Real Madrid CF,310000,147600000,71,68,Midfield
29,Luka Modrić,88,88,29000000,CM,CM,Croatia,36,Real Madrid CF,230000,59500000,72,66,Midfield
30,Antonio Rüdiger,87,88,73500000,CB,CB,Germany,29,Real Madrid CF,250000,156200000,86,85,Defense
31,Rodrigo Hernández Cascante,87,89,88500000,CDM,CDM,Spain,26,Manchester City,200000,170400000,83,84,Other
32,Fábio Henrique Tavares,87,88,77000000,"CDM,CB",CDM,Brazil,28,Liverpool,185000,148200000,86,83,Other
33,Hugo Lloris,87,87,9000000,GK,GK,France,35,Tottenham Hotspur,80000,17100000,61,84,Goalkeeper
34,Thomas Müller,87,87,63000000,"CAM,CF",CAM,Germany,32,FC Bayern München,115000,104000000,56,71,Midfield
35,David De Gea Quintana,87,87,42000000,GK,GK,Spain,31,Manchester United,150000,79800000,51,84,Goalkeeper
36,Marco Verratti,87,87,77500000,"CM,CAM",CM,Italy,29,Paris Saint-Germain,155000,143400000,79,66,Midfield
37,Mike Maignan,87,90,80000000,GK,GK,France,26,AC Milan,90000,142000000,51,85,Goalkeeper
38,Trent Alexander-Arnold,87,90,100500000,RB,CM,England,23,Liverpool,150000,193500000,80,73,Midfield
39,Andrew Robertson,87,87,72000000,LB,LB,Scotland,28,Liverpool,185000,133199999,82,76,Defense
40,Kalidou Koulibaly,87,87,54500000,CB,CB,Senegal,31,Chelsea,175000,100800000,88,85,Defense
41,Leon Goretzka,87,88,91000000,"CM,CDM",CM,Germany,27,FC Bayern München,115000,157000000,81,86,Midfield
42,Frenkie de Jong,87,92,116500000,CM,CM,Netherlands,25,FC Barcelona,230000,247600000,77,78,Midfield
43,Thiago Alcântara,86,86,55500000,CM,CM,Spain,31,Liverpool,180000,102700000,72,69,Midfield
44,Ciro Immobile,86,86,55000000,ST,ST,Italy,32,Lazio,100000,93500000,39,75,Attack
45,Romelu Lukaku,86,86,68000000,ST,ST,Belgium,29,Inter,200000,0,38,82,Attack
46,David Alaba,86,86,55500000,CB,CB,Austria,30,Real Madrid CF,220000,113800000,85,77,Defense
47,Raheem Sterling,86,86,72500000,"LW,RW",LW,England,27,Chelsea,195000,134100000,45,67,Attack
48,Riyad Mahrez,86,86,56500000,"RW,RM",RW,Algeria,31,Manchester City,220000,104500000,38,60,Attack
49,Paulo Dybala,86,86,69500000,"CF,CAM",CAM,Argentina,28,Roma,130000,118200000,40,59,Midfield
50,Thiago Emiliano da Silva,86,86,12000000,CB,CB,Brazil,37,Chelsea,115000,22200000,87,76,Defense
51,Wojciech Szczęsny,86,86,33500000,GK,GK,Poland,32,Juventus,125000,57000000,49,86,Goalkeeper
52,Kevin Trapp,86,86,36000000,GK,GK,Germany,31,Eintracht Frankfurt,43000,61200000,46,85,Goalkeeper
53,Bruno Miguel Borges Fernandes,86,86,72500000,"CAM,CM",CAM,Portugal,27,Manchester United,190000,137800000,67,76,Midfield
54,Daniel Parejo Muñoz,86,86,42000000,CM,CM,Spain,33,Villarreal CF,64000,88200000,71,68,Midfield
55,Aymeric Laporte,86,87,64500000,CB,CB,Spain,28,Manchester City,195000,124200000,86,79,Defense
56,Kingsley Coman,86,87,80000000,LM,LM,France,26,FC Bayern München,105000,138000000,30,61,Midfield
57,Marcelo Brozović,86,86,58000000,"CDM,CM",CDM,Croatia,29,Inter,110000,95700000,81,78,Other
58,Nicolò Barella,86,89,89500000,CM,CM,Italy,25,Inter,110000,154400000,77,81,Midfield
59,Lautaro Martínez,86,90,98500000,ST,ST,Argentina,24,Inter,110000,169900000,48,84,Attack
60,Milan Škriniar,86,87,68500000,CB,CB,Slovakia,27,Inter,105000,118200000,88,86,Defense
61,Christopher Nkunku,86,89,94000000,"CF,CAM,ST",CAM,France,24,RB Leipzig,90000,166900000,65,66,Midfield
62,Édouard Mendy,86,87,51000000,GK,GK,Senegal,30,Chelsea,130000,98200000,34,85,Goalkeeper
63,Vinícius José de Oliveira Júnior,86,92,109000000,LW,LW,Brazil,21,Real Madrid CF,200000,245300000,29,67,Attack
64,Sergej Milinković-Savić,86,87,77500000,CM,CM,Serbia,27,Lazio,90000,137600000,79,86,Midfield
65,Niklas Süle,85,87,59000000,"CB,RB",CB,Germany,26,Borussia Dortmund,72000,104700000,85,83,Defense
66,Nabil Fekir,85,85,54500000,CAM,CAM,France,28,Real Betis Balompié,48000,114500000,38,80,Midfield
67,Serge Gnabry,85,85,59000000,RM,RM,Germany,26,FC Bayern München,100000,97400000,43,69,Midfield
68,İlkay Gündoğan,85,85,44000000,"CM,CDM",CM,Germany,31,Manchester City,185000,81400000,72,72,Midfield
69,Kyle Walker,85,85,37500000,RB,RB,England,32,Manchester City,170000,69400000,80,82,Defense
70,Pierre-Emerick Aubameyang,85,85,34500000,ST,ST,Gabon,33,Chelsea,180000,63800000,36,68,Attack
71,Jordi Alba Ramos,85,85,28000000,LB,LB,Spain,33,FC Barcelona,190000,57400000,77,70,Defense
72,Sergio Busquets Burgos,85,85,26500000,CDM,CDM,Spain,33,FC Barcelona,190000,54300000,82,73,Other
73,Iago Aspas Juncal,85,85,26000000,ST,ST,Spain,34,RC Celta de Vigo,50000,54600000,35,63,Attack
74,Paul Pogba,85,85,52500000,"CM,CDM,LM",CM,France,29,Juventus,165000,89300000,62,80,Midfield
75,Memphis Depay,85,85,55000000,"CF,ST,LW",CF,Netherlands,28,FC Barcelona,230000,112800000,30,79,Attack
76,Luiz Frello Filho Jorge,85,85,51500000,CM,CM,Italy,30,Chelsea,165000,95300000,73,73,Midfield
77,Marcos Acuña,85,85,46500000,LB,LB,Argentina,30,Sevilla FC,46000,97700000,80,83,Defense
78,Gerard Moreno Balagueró,85,85,53000000,ST,ST,Spain,30,Villarreal CF,64000,111300000,46,72,Attack
79,Yannick Carrasco,85,85,54500000,LM,LM,Belgium,28,Atlético de Madrid,90000,111700000,53,67,Midfield
80,Filip Kostić,85,85,53000000,"LM,LWB",LM,Serbia,29,Juventus,165000,90100000,68,80,Midfield
81,Jamie Vardy,85,85,23000000,ST,ST,England,35,Leicester City,110000,43700000,52,72,Attack
82,Pedro González López,85,93,116000000,CM,CM,Spain,19,FC Barcelona,115000,261000000,68,73,Midfield
83,Phil Foden,85,92,109500000,"LW,CF,CAM",CAM,England,22,Manchester City,180000,224500000,56,60,Midfield
84,Matthijs de Ligt,85,89,71000000,CB,CB,Netherlands,22,FC Bayern München,77000,122500000,84,87,Defense
85,Patrik Schick,85,87,67500000,ST,ST,Czech Republic,26,Bayer 04 Leverkusen,95000,119800000,36,76,Attack
86,Theo Hernández,85,90,76000000,LB,LWB,France,24,AC Milan,82000,134900000,78,83,Defense
87,Diogo José Teixeira da Silva,85,89,76000000,"CF,LW",ST,Portugal,25,Liverpool,170000,146300000,57,77,Attack
88,Péter Gulácsi,85,85,26500000,GK,GK,Hungary,32,RB Leipzig,65000,45100000,43,83,Goalkeeper
89,Yann Sommer,85,85,17500000,GK,GK,Switzerland,33,Borussia Mönchengladbach,40000,29800000,50,86,Goalkeeper
90,Marco Reus,85,85,33500000,"CAM,CF,RM",CAM,Germany,33,Borussia Dortmund,78000,57000000,53,65,Midfield
91,Lucas Hernández,84,86,46000000,"CB,LB",CB,France,26,FC Bayern München,82000,79400000,84,80,Defense
92,Sergio Ramos García,84,84,7500000,CB,CB,Spain,36,Paris Saint-Germain,75000,13900000,83,77,Defense
93,Alejandro Gómez,84,84,20000000,"CAM,LW",CAM,Argentina,34,Sevilla FC,47000,42000000,39,54,Midfield
94,Samir Handanovič,84,84,4700000,GK,GK,Slovenia,37,Inter,46000,7800000,43,90,Goalkeeper
95,Dries Mertens,84,84,18000000,"CF,ST,CAM",CF,Belgium,35,Galatasaray SK,86000,34200000,34,49,Attack
96,Luis Suárez,84,84,18000000,ST,ST,Uruguay,35,Club Nacional de Football,1000,39600000,46,81,Attack
97,Dušan Tadić,84,84,26500000,"LW,CF,CAM",LW,Serbia,33,Ajax,32000,37100000,43,77,Attack
98,Domenico Berardi,84,84,45000000,"RM,RW",RM,Italy,27,U.S. Sassuolo Calcio,57000,76500000,36,71,Midfield
99,Thomas Partey,84,84,36000000,"CDM,CM",CDM,Ghana,29,Arsenal,115000,68400000,80,83,Other
100,Yassine Bounou,84,84,22500000,GK,GK,Morocco,31,Sevilla FC,34000,47300000,36,84,Goalkeeper
101,Hakan Çalhanoğlu,84,84,42000000,CM,CM,Turkey,28,Inter,100000,69300000,68,64,Midfield
102,Mateo Kovačić,84,84,42000000,CM,CM,Croatia,28,Chelsea,155000,77700000,71,71,Midfield
103,Jack Grealish,84,84,46000000,"LW,LM,CAM",LW,England,26,Manchester City,185000,85100000,46,69,Attack
104,Daniel Carvajal Ramos,84,84,36500000,RB,RB,Spain,30,Real Madrid CF,185000,74800000,78,79,Defense
105,Stefan Savić,84,84,29000000,CB,CB,Montenegro,31,Atlético de Madrid,74000,59500000,87,80,Defense
106,Emiliano Martínez,84,84,29000000,GK,GK,Argentina,29,Aston Villa,95000,55100000,58,83,Goalkeeper
107,Raphaël Varane,84,85,39000000,CB,CB,France,29,Manchester United,155000,77000000,85,80,Defense
108,Wissam Ben Yedder,84,84,35500000,ST,CF,France,31,AS Monaco,88000,67500000,39,68,Attack
109,Lorenzo Insigne,84,84,35000000,"LW,CF,LM",CAM,Italy,31,Toronto FC,19000,52500000,36,45,Midfield
110,Mats Hummels,84,84,20000000,"CB,RB,RW",CB,Germany,33,Borussia Dortmund,66000,34000000,87,78,Defense
111,Stefan de Vrij,84,84,34500000,CB,CB,Netherlands,30,Inter,88000,56900000,87,79,Defense
112,Joel Matip,84,84,34500000,CB,CB,Cameroon,30,Liverpool,140000,63800000,87,78,Defense
113,Koen Casteels,84,85,31500000,GK,GK,Belgium,30,VfL Wolfsburg,55000,55900000,45,84,Goalkeeper
114,Sergio Canales Madrazo,84,84,35000000,"RM,CAM,CDM",RM,Spain,31,Real Betis Balompié,42000,73500000,68,71,Midfield
115,Iker Muniain Goñi,84,84,41500000,"LM,CAM",LM,Spain,29,Athletic Club de Bilbao,49000,87200000,51,61,Midfield
116,Kieran Trippier,84,84,30500000,"RB,RM",RB,England,31,Newcastle United,120000,58000000,80,72,Defense
117,Leonardo Bonucci,84,84,11000000,CB,CB,Italy,35,Juventus,95000,18700000,85,78,Defense
118,Ángel Di María,84,84,20000000,RW,RW,Argentina,34,Juventus,160000,34000000,48,67,Attack
119,Eden Hazard,84,84,35000000,LW,LW,Belgium,31,Real Madrid CF,220000,71800000,35,63,Attack
120,Ivan Perišić,84,84,26500000,"LM,LWB",LM,Croatia,33,Tottenham Hotspur,130000,50400000,74,78,Midfield
121,Edin Džeko,84,84,14500000,ST,ST,Bosnia and Herzegovina,36,Inter,80000,23900000,45,75,Attack
122,Giorgio Chiellini,84,84,7500000,CB,CB,Italy,37,Los Angeles FC,11000,11300000,85,83,Defense
123,Rodrigo Javier De Paul,84,84,42000000,CM,CM,Argentina,28,Atlético de Madrid,85000,86100000,75,81,Midfield
124,Jude Bellingham,84,91,81500000,"CM,LM",CM,England,19,Borussia Dortmund,41000,154900000,77,80,Midfield
125,Federico Chiesa,84,90,66500000,LW,RM,Italy,24,Juventus,140000,126400000,48,73,Midfield
126,Moussa Diaby,84,88,61500000,"RM,LM,LW",RM,France,22,Bayer 04 Leverkusen,70000,109200000,42,59,Midfield
127,Jamie Tartt,84,91,85500000,ST,CAM,England,24,AFC Richmond,78000,179600000,29,74,Midfield
128,Rafael da Conceição Leão,84,90,66500000,"LW,LM",LW,Portugal,23,AC Milan,90000,126400000,27,74,Attack
129,Jules Koundé,84,89,57500000,"CB,RB",CB,France,23,FC Barcelona,150000,122200000,85,78,Defense
130,Youri Tielemans,84,86,52500000,"CM,CDM",CM,Belgium,25,Leicester City,115000,103700000,70,73,Midfield
131,Sandro Tonali,84,90,62500000,"CDM,CM",CDM,Italy,22,AC Milan,75000,118800000,79,82,Other
132,Luis Díaz,84,87,56000000,"LW,LM",RM,Colombia,25,Liverpool,155000,107800000,34,73,Midfield
133,Éder Gabriel Militão,84,89,57500000,CB,CB,Brazil,24,Real Madrid CF,160000,122200000,85,82,Defense
134,Federico Valverde,84,90,66000000,"CM,RW",CM,Uruguay,23,Real Madrid CF,175000,148500000,78,80,Midfield
135,Leroy Sané,84,85,49500000,LM,LM,Germany,26,FC Bayern München,90000,85400000,38,66,Midfield
136,Reece James,84,88,57000000,"RWB,RB",RWB,England,22,Chelsea,120000,109700000,80,82,Defense
137,Alessandro Bastoni,84,90,60500000,CB,CB,Italy,23,Inter,75000,111900000,86,82,Defense
138,Kai Havertz,84,91,84500000,"CAM,CF,ST",CAM,Germany,23,Chelsea,130000,173200000,45,66,Midfield
139,João Félix Sequeira,84,90,68500000,"CF,ST",CAM,Portugal,22,Atlético de Madrid,78000,154100000,40,67,Midfield
140,Achraf Hakimi,84,87,53500000,"RB,RWB",RB,Morocco,23,Paris Saint-Germain,90000,103000000,75,78,Defense
141,Alphonso Davies,84,89,60500000,"LB,LM",LM,Canada,21,FC Bayern München,59000,104400000,76,77,Midfield
142,Declan Rice,84,87,52000000,CDM,CDM,England,23,West Ham United,83000,102700000,82,83,Other
143,Mason Mount,84,87,57500000,"CAM,RW",CAM,England,23,Chelsea,130000,110700000,55,67,Midfield
144,Jadon Sancho,84,88,61500000,"LW,RW,LM",CAM,England,22,Manchester United,155000,121500000,36,59,Midfield
145,Fikayo Tomori,84,90,60500000,CB,CB,England,24,AC Milan,75000,115000000,86,81,Defense
146,Franck Yannick Kessié,84,86,47500000,"CDM,CM",CDM,Côte d'Ivoire,25,FC Barcelona,165000,100900000,82,87,Other
147,Mikel Oyarzabal Ugarte,84,86,53000000,"LW,RW",LW,Spain,25,Real Sociedad,57000,115300000,41,62,Attack
148,Lorenzo Pellegrini,84,87,55000000,"CAM,CM",CAM,Italy,26,Roma,95000,97600000,74,78,Midfield
149,Wilfred Ndidi,84,86,47500000,"CDM,CM",CB,Nigeria,25,Leicester City,105000,93800000,85,83,Defense
150,Marcos Llorente Moreno,84,85,48000000,"CM,RM,RB",CAM,Spain,27,Atlético de Madrid,81000,102000000,78,81,Midfield
151,Martin Ødegaard,84,89,63500000,"CAM,CM",CAM,Norway,23,Arsenal,105000,125400000,58,63,Midfield
152,Dušan Vlahović,84,91,86500000,ST,ST,Serbia,22,Juventus,140000,164400000,28,79,Attack
153,Diego Carlos Santos Silva,83,83,30500000,CB,CB,Brazil,29,Aston Villa,105000,58000000,82,82,Defense
154,José Ángel Esmoris Tasende,83,85,42000000,"LWB,LM",LM,Spain,25,TSG Hoffenheim,64000,0,76,70,Midfield
155,Ousmane Dembélé,83,86,48000000,"RW,LW",LM,France,25,FC Barcelona,180000,102000000,36,56,Midfield
156,Marco Asensio Willemsen,83,84,43000000,RW,RW,Spain,26,Real Madrid CF,200000,91400000,43,62,Attack
157,Rúben Diogo da Silva Neves,83,86,47500000,"CM,CDM",CM,Portugal,25,Wolverhampton Wanderers,105000,93800000,76,73,Midfield
158,Mikel Merino Zazón,83,86,47000000,CM,CM,Spain,26,Real Sociedad,49000,102200000,82,81,Midfield
159,Konrad Laimer,83,84,38500000,"CDM,CM",CDM,Austria,25,RB Leipzig,64000,68300000,81,78,Other
160,Presnel Kimpembe,83,86,42000000,CB,CB,France,26,Paris Saint-Germain,95000,80900000,83,86,Defense
161,Fabián Ruiz Peña,83,85,44500000,"CM,CDM",CM,Spain,26,Paris Saint-Germain,105000,85700000,74,72,Midfield
162,Ferland Mendy,83,84,38000000,LB,LB,France,27,Real Madrid CF,170000,80800000,78,84,Defense
163,Ronaldo Jailson Cabrais Petri,83,83,35000000,"CAM,RM",RM,Brazil,30,Palmeiras,59000,63000000,35,72,Midfield
164,Gabriel Fernando de Jesus,83,86,48500000,"ST,RW",ST,Brazil,25,Arsenal,115000,95800000,40,74,Attack
165,Unai Simón Mendibil,83,86,37000000,GK,GK,Spain,25,Athletic Club de Bilbao,30000,80500000,49,85,Goalkeeper
166,Victor Osimhen,83,89,58000000,ST,ST,Nigeria,23,Napoli,72000,110200000,40,81,Attack
167,Pierre-Emile Højbjerg,83,85,40500000,"CDM,CM",CDM,Denmark,26,Tottenham Hotspur,110000,80000000,80,82,Other
168,Cristian Romero,83,88,49500000,CB,CB,Argentina,24,Tottenham Hotspur,95000,97800000,85,82,Defense
169,Raphael Dias Belloli,83,86,48000000,"RW,RM",LM,Brazil,25,FC Barcelona,180000,102000000,50,73,Midfield
170,Carlos Soler Barragán,83,88,53000000,"CM,RM,CDM",CM,Spain,25,Paris Saint-Germain,100000,102000000,71,72,Midfield
171,Gregor Kobel,83,88,44000000,GK,GK,Switzerland,24,Borussia Dortmund,40000,78100000,43,79,Goalkeeper
172,Pau Francisco Torres,83,89,50500000,CB,CB,Spain,25,Villarreal CF,43000,116200000,84,81,Defense
173,Cody Gakpo,83,87,52000000,LW,RM,Netherlands,23,PSV,29000,76700000,41,74,Midfield
174,Ronald Araujo,83,89,52000000,"CB,RB",CB,Uruguay,23,FC Barcelona,135000,117000000,83,83,Defense
175,Roy Kent,83,83,0,"CDM,CM",CDM,England,40,AFC Richmond,45000,0,79,83,Other
176,Duván Zapata,83,83,30500000,ST,ST,Colombia,31,Atalanta,77000,51900000,35,85,Attack
177,Ángel Correa,83,84,42500000,"ST,RM,CF",CF,Argentina,27,Atlético de Madrid,80000,90300000,50,74,Attack
178,José María Giménez,83,85,38500000,CB,CB,Uruguay,27,Atlético de Madrid,68000,81800000,85,83,Defense
179,Thomas Lemar,83,86,47000000,"CM,LM,RM",CAM,France,26,Atlético de Madrid,74000,99900000,68,64,Midfield
180,Gleison Bremer Silva Nascimento,83,87,45500000,CB,CB,Brazil,25,Juventus,115000,80800000,84,79,Defense
181,Juan Cuadrado,83,83,13500000,"RB,RM",RB,Colombia,34,Juventus,120000,23000000,76,72,Defense
182,Piotr Zieliński,83,83,36500000,"CAM,CM",CAM,Poland,28,Napoli,78000,62100000,70,62,Midfield
183,Jesús Navas González,83,83,8000000,"RB,RM",RB,Spain,36,Sevilla FC,28000,16800000,79,57,Defense
184,Gerard Piqué Bernabeu,83,83,9500000,CB,CB,Spain,35,FC Barcelona,110000,19500000,83,76,Defense
185,Kasper Schmeichel,83,83,4000000,GK,GK,Denmark,35,OGC Nice,31000,7600000,45,81,Goalkeeper
186,Jordan Henderson,83,83,28500000,"CM,CDM",CM,England,32,Liverpool,135000,52700000,78,81,Midfield
187,Fernando Reges Mouta,83,83,12500000,"CDM,CB",CDM,Brazil,34,Sevilla FC,39000,26300000,83,81,Other
188,Lukáš Hrádecký,83,83,18000000,GK,GK,Finland,32,Bayer 04 Leverkusen,55000,30600000,40,82,Goalkeeper
189,David Josué Jiménez Silva,83,83,12000000,"CAM,CM",CAM,Spain,36,Real Sociedad,37000,25200000,52,53,Midfield
190,Oliver Baumann,83,83,18000000,GK,GK,Germany,32,TSG Hoffenheim,40000,30600000,49,79,Goalkeeper
191,Antoine Griezmann,83,83,30500000,"ST,CF,RW",CAM,France,31,Atlético de Madrid,185000,0,52,72,Midfield
192,Luis Alberto Romero Alconchel,83,83,35500000,CM,CM,Spain,29,Lazio,74000,60400000,57,57,Midfield
193,Roberto Firmino Barbosa de Oliveira,83,83,35500000,CF,CF,Brazil,30,Liverpool,150000,65700000,59,78,Attack
194,John Stones,83,84,34500000,CB,CB,England,28,Manchester City,150000,66400000,84,77,Defense
195,Hakim Ziyech,83,83,35500000,"RW,CAM",RW,Morocco,29,Chelsea,155000,65700000,50,65,Attack
196,Jorge Resurrección,83,83,34500000,"CM,CDM",CM,Spain,30,Atlético de Madrid,74000,70700000,78,79,Midfield
197,Ricardo Barbosa Pereira,83,83,33000000,"RB,RWB",RB,Portugal,28,Leicester City,105000,62700000,80,73,Defense
198,James Maddison,82,84,38000000,"CAM,RM",CAM,England,25,Leicester City,100000,75100000,54,62,Midfield
199,Gerónimo Rulli,82,82,20500000,GK,GK,Argentina,30,Villarreal CF,34000,43100000,54,81,Goalkeeper
200,Andrej Kramarić,82,82,25500000,"CF,CAM",CF,Croatia,31,TSG Hoffenheim,54000,43400000,30,72,Attack
201,Rafael A. Ferreira Silva,82,82,30000000,"RW,RM,CF",RW,Portugal,29,SL Benfica,24000,60000000,50,52,Attack
202,Giovanni Di Lorenzo,82,82,27500000,RB,RB,Italy,28,Napoli,66000,46800000,78,80,Defense
203,David Soria Solís,82,82,21000000,GK,GK,Spain,29,Getafe CF,32000,44100000,43,81,Goalkeeper
204,Manuel Locatelli,82,86,40000000,"CDM,CM",CM,Italy,24,Juventus,37000,0,79,79,Midfield
205,Robin Gosens,82,82,29500000,"LWB,LM",LWB,Germany,27,Inter,59000,0,77,80,Defense
206,Gonçalo Manuel Ganchinho Guedes,82,85,41000000,"ST,LM,CF",ST,Portugal,25,Wolverhampton Wanderers,105000,81000000,38,70,Attack
207,Jonathan Tah,82,84,33500000,CB,CB,Germany,26,Bayer 04 Leverkusen,62000,59500000,83,85,Defense
208,Andreas Christensen,82,86,37500000,CB,CB,Denmark,26,FC Barcelona,145000,79700000,84,74,Defense
209,Emre Can,82,82,30500000,"CM,CB,CDM",CB,Germany,28,Borussia Dortmund,63000,51900000,82,87,Defense
210,Anderson Souza Conceição,82,82,31000000,"CF,ST,CAM",CF,Brazil,28,Al Nassr,64000,52700000,52,75,Attack
211,Julian Brandt,82,85,40000000,"CAM,CM,RM",CAM,Germany,26,Borussia Dortmund,60000,71000000,48,65,Midfield
212,Timo Werner,82,84,38000000,"ST,LW",ST,Germany,26,RB Leipzig,73000,67500000,35,69,Attack
213,José Luís Gayà Peña,82,83,32000000,"LB,LM",LB,Spain,27,Valencia CF,44000,69600000,78,73,Defense
214,Otávio Edmilson da Silva Monteiro,82,82,32500000,"RM,LM",RM,Portugal,27,FC Porto,21000,65000000,63,71,Midfield
215,Alejandro Grimaldo García,82,83,33000000,"LB,LWB,LM",LB,Spain,26,SL Benfica,19000,68500000,74,71,Defense
216,Raphaël Guerreiro,82,82,27500000,"LB,LM",CAM,Portugal,28,Borussia Dortmund,57000,46800000,75,55,Midfield
217,André Onana,82,85,30500000,GK,GK,Cameroon,26,Inter,59000,52600000,61,80,Goalkeeper
218,Matthias Ginter,82,83,29000000,CB,CB,Germany,28,Sport-Club Freiburg,40000,51500000,84,79,Defense
219,Sébastien Haller,82,82,31000000,ST,ST,Côte d'Ivoire,28,Borussia Dortmund,68000,52700000,52,82,Attack
220,Aritz Elustondo,82,83,29000000,"CB,RB",CB,Spain,28,Real Sociedad,43000,63100000,82,78,Defense
221,Tammy Abraham,82,85,42000000,ST,ST,England,24,Roma,77000,74600000,36,80,Attack
222,Ismaël Bennacer,82,86,40000000,"CDM,CM",CM,Algeria,24,AC Milan,63000,71000000,77,76,Midfield
223,Alejandro Remiro Gargallo,82,84,28000000,GK,GK,Spain,27,Real Sociedad,34000,60900000,42,85,Goalkeeper
224,Dani Rojas,82,83,36500000,ST,ST,Mexico,26,AFC Richmond,74000,72100000,28,75,Attack
225,Florian Wirtz,82,91,66000000,"CAM,CM",CAM,Germany,19,Bayer 04 Leverkusen,38000,125400000,51,60,Midfield
226,Antony Matheus dos Santos,82,88,49000000,"RW,RM",LM,Brazil,22,Manchester United,130000,102900000,39,69,Midfield
227,Darwin Núñez,82,89,61500000,"ST,LW",ST,Uruguay,23,Liverpool,120000,126100000,42,86,Attack
228,Nico Schlotterbeck,82,88,44500000,CB,CB,Germany,22,Borussia Dortmund,47000,84600000,84,78,Defense
229,Bukayo Saka,82,89,60500000,"RM,LM",LM,England,20,Arsenal,76000,127100000,65,65,Midfield
230,Daniel Olmo Carvajal,82,87,46000000,"CAM,CF",CAM,Spain,24,RB Leipzig,59000,81700000,50,59,Midfield
231,Aurélien Tchouaméni,82,89,61500000,"CM,CDM",CDM,France,22,Real Madrid CF,145000,138400000,81,82,Other
232,Ferran Torres García,82,88,49000000,"LW,ST",LW,Spain,22,FC Barcelona,150000,110300000,35,67,Attack
233,Noussair Mazraoui,82,86,40500000,RB,RM,Morocco,24,FC Bayern München,59000,69900000,76,74,Midfield
